"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","display","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","XMAS","REPUBLIC","substitute_avg_price","sum_rows","weekly_qty","yhat"
"1",2016-01-03,-22172.5587213004,-2.52808659106788,-8.04162256162191,0,0,0,0,0,1.08704263947195,0,0,0,0,0,0,0,0,0,-0.913812174177352,-22182.9551999878,7,5.5448991083851
"2",2016-01-10,-19535.8084384909,-2.22744771949003,-7.49420438726725,0,0,0,0,0,0.61327297890829,0,0,0,0,0,0,0,0,0,-0.856276717655716,-19545.7730943364,3,4.88550230732311
"3",2016-01-17,-18861.2267027989,-2.15053277872843,-7.53260279995043,0,0,0,0,0,0.630103567763634,0,0,0,0,0,0,0,0,0,-0.937781338153656,-18871.217516148,8,4.71680334425856
"4",2016-01-24,-18893.9231124089,-2.15426078124496,-7.58792419020691,0,0,0,0,0,0.503539671412709,0,0,0,0,0,0,0,0,0,-0.739788062735919,-18903.9015457717,3,4.72498004117354
"5",2016-01-31,-17183.4001525811,-1.95922915621649,-6.62025156593776,0,0,0,0,0,0.064108494859644,0,0,0,0,0,0,0,0,0,-0.786557155634437,-17192.702081964,9,4.29721356847908
"6",2016-02-07,-33946.8577442355,5.03730998200639,-11.7496704414366,0,0,0,0,0,0.652954350029796,0,0,-8.8536162812649,0,0,0,0,0,0,-1.64328387006793,-33963.4140504962,9,8.48940817361144
"7",2016-02-14,-21012.9190493684,-2.39586596908503,-6.57566323689947,0,0,0,0,0,0.535891489979003,0,0,0,0,0,0,0,0,0,-1.03821637767283,-21022.3929034621,4,5.25489717113613
"8",2016-02-21,-24071.5585835908,-2.74460810979022,-6.73185827802748,0,0,0,0,0,0.926433167561946,0,0,0,0,0,0,0,0,0,-1.07900838282573,-24081.1876251939,10,6.01979976263941
"9",2016-02-28,-21331.1969100217,-2.43215560087112,-5.41018730925651,0,0,0,0,0,0.0403284029733681,0,0,0,0,0,0,0,0,0,-1.03035935220482,-21340.0292838811,3,5.33449189215766
"10",2016-03-06,-25333.3022889134,-2.88847050216832,-5.62436721683016,0,0,0,0,0,0.620842162967519,0,0,0,0,0,0,0,0,0,-1.136616156505,-25342.3309006259,7,6.33533581035466
"11",2016-03-13,-25109.565515218,-2.86296032336497,-4.72970917777766,0,0,0,0,0,0.107266424883592,0,0,0,0,0,0,0,0,0,-1.10375919642499,-25118.1546774907,7,6.27938386305934
"12",2016-03-20,-54381.3448937726,3.13557491082281,-8.63881230805858,0,0,0,0,0,1.36609831199325,0,0,0,0,0,0,0,0,0,-2.76694996969901,-54388.2489828275,21,13.5996514702917
"13",2016-03-27,-28904.5861554314,-3.2956636894466,-3.68924223210415,0,0,0,0,0,0.16050652752675,0,0,0,0,0,0,0,0,0,-1.38663761647683,-28912.7971924419,6,7.22844016408098
"14",2016-04-03,-37111.1240502783,-4.23136257164743,-3.36233281438261,0,0,0,0,0,1.36408807257729,0,0,0,0,0,0,0,0,0,-1.66800808445995,-37119.0216656762,5,9.2807258397234
"15",2016-04-10,-36253.1242922535,-4.13353454418941,-2.41733481619209,0,0,0,0,0,0.493520906617126,0,0,0,0,0,0,0,0,0,-1.55693717120083,-36260.7385778785,13,9.06615781656171
"16",2016-04-17,-137279.235118458,20.3706059215992,-5.38149479529214,0,0,-2.93217276835041,0,0,3.00864704237754,0,0,0,0,0,0,0,0,0,-5.43652294658735,-137269.606056004,24,34.3307021068736
"17",2016-04-24,-72072.9887853584,10.6947744199733,-1.11341264262112,0,0,0,0,0,0.261423769301036,0,0,0,-18.6397657013897,0,0,0,0,0,-3.37804524649734,-72085.1638107596,14,18.023966303477
"18",2016-05-01,-191939.077306746,28.4814764694547,1.61638343473796,0,0,-4.09966252489318,0,0,1.91142272981106,0,0,0,0,10.2420684968719,0,0,0,0,-9.50315667614386,-191910.428774816,48,48.0000000000008
"19",2016-05-08,-57970.5499629909,-6.60972745096299,1.90941725701752,0,0,0,0,0,2.10177951328264,0,0,0,0,0,0,0,0,0,-2.64037572620501,-57975.7888693978,18,14.4972375467693
"20",2016-05-15,-67242.6497533723,-7.66692032823735,3.59528186480863,0,0,0,0,0,3.22603113690153,0,0,0,0,0,0,0,0,0,-3.20864805449047,-67246.7040087533,22,16.815998250339
"21",2016-05-22,-60340.6646466687,-6.87996487490734,4.34273369490842,0,0,0,0,0,0.378310842200802,0,0,0,0,0,0,0,0,0,-3.23367242620115,-60346.0572394327,9,15.0899542900863
"22",2016-05-29,-78060.5461787992,-8.9003629471269,7.4366362982,0,0,0,0,0,2.37549251922096,0,0,0,0,0,0,0,0,0,-3.87875150184844,-78063.5131644308,22,19.5213307741098
"23",2016-06-05,-380928.799151809,89.5446772229035,44.5037958785532,-89.8292680997996,33.0345865840948,-8.1363292167933,-120.468791268174,0,14.0073153013947,0,0,0,0,0,-86.0273029284179,0,0,0,-19.1169403468428,-381071.287408682,76,95.2624270984992
"24",2016-06-12,-85663.6983788172,-9.76726456945742,11.5625654709863,-18.7039709894052,6.75152730501269,0,0,0,3.37924978482722,0,0,0,0,0,0,0,0,0,-4.16247521213783,-85674.6387470274,28,21.4227221464234
"25",2016-06-19,-82757.4340426248,-9.43589605259928,12.2830537000574,-16.7032558980472,5.87530360656534,0,0,0,0.517839997208338,0,0,0,0,0,0,0,0,0,-4.11138031656408,-82769.0083775882,37,20.6959254456437
"26",2016-06-26,-97784.9320526031,-11.1493120229369,15.6139384801647,-18.2184340780097,6.2018976387328,0,0,0,1.77483376750544,0,0,0,0,0,0,0,0,0,-4.68336267070506,-97795.3924914883,19,24.4539924041827
"27",2016-07-03,-249910.906337657,14.4096172940195,42.59918436446,-42.9281261590434,14.0532005040829,0,0,0,8.97568771598554,5.78849782641191,0,0,0,0,0,0,0,0,-11.9215841271789,-249879.929860238,41,62.4975574152461
"28",2016-07-10,-140575.622664116,-16.0282514596189,24.9651376806625,-22.2399035132796,6.96069271196832,0,0,0,6.00247309377133,1.66757410054257,0,0,0,0,0,0,0,0,-7.2839732521194,-140581.578914754,33,35.1550605669215
"29",2016-07-17,-148371.669758988,-16.9171467094462,26.7613125748539,-21.6001111814429,6.42935003602918,0,0,0,4.63798655060913,3.43662107623511,0,0,0,0,0,0,0,0,-6.84493350568187,-148375.766680147,32,37.1046909694675
"30",2016-07-24,-266383.220915524,15.3593947666884,47.8442617442243,-35.659014184334,10.0464921297161,0,0,0,8.16656910043126,4.68328234594551,0,0,0,0,0,0,0,0,-13.7135248814845,-266346.493454503,66,66.6169431642671
"31",2016-07-31,-148986.980152542,-16.9873036081082,26.3574808362682,-18.3271752452704,4.86682722381549,0,0,0,6.43597807022622,3.45087304677872,0,0,0,0,0,0,0,0,-7.4068655774271,-148988.590337796,49,37.2585673937214
"32",2016-08-07,-360993.44071656,53.5671335491765,61.9215775282071,-40.7853019529035,10.1705862272264,-7.71052618051691,0,0,3.3151307301768,0,0,0,0,0,0,0,0,0,-17.4023450538005,-360930.364461712,71,90.2770055870541
"33",2016-08-14,-64064.4648864053,-4.07995407211701,5.86216772392798,-3.71152199801216,0.866307064226747,0,0,0,1.45879843000906,0,0,0,0,0,0,-7.26485937809008,0,0,-1.68545090150354,-64073.0193995369,10,8.9486387755325
"34",2016-08-21,-89698.2151960179,-5.71244291198754,7.54440929792062,-4.76905110932087,1.03895303667927,0,0,0,0.771920066815253,0,0,0,0,0,0,0,0,0,-2.50603827538104,-89701.8474459132,14,12.529206761071
"35",2016-08-28,-84937.8847825317,-5.40928062865991,6.31896270722914,-4.14320404106986,0.840375893746689,0,0,0,1.62402946112603,0,0,0,0,0,0,0,0,0,-2.18885493548748,-84940.8427540748,19,11.8642753143165
"36",2016-09-04,-68422.8380598256,-4.35751765449035,4.34298751782784,-3.06140141595046,0.576905410084271,0,0,0,0.790741719360067,0,0,0,0,0,0,0,0,0,-1.88988021699759,-68426.4362244658,14,9.55742411771968
"37",2016-09-11,-60693.274422361,-3.86525935350743,3.10748295485859,-2.49036019420892,0.435205843427825,0,0,0,0.654918752910584,0,0,0,0,0,0,0,0,0,-1.42921181639175,-60696.8616461739,13,8.47774487577474
"38",2016-09-18,-58698.2713065451,-3.73820731146365,2.1549844461198,-2.20843492869584,0.357337048797637,0,0,0,1.45355538297746,0,0,0,0,0,0,0,0,0,-1.45379456157314,-58701.7058664689,9,8.19907928056289
"39",2016-09-25,-45993.5309355373,-2.92910421033276,0.989525240763649,-1.58651223138785,0.237359964530329,0,0,0,0.458891485221387,0,0,0,0,0,0,0,0,0,-1.10963159183272,-45997.4704068803,3,6.42445847449421
"40",2016-10-02,-188977.843163066,24.4627438894907,0.502324961420719,-21.0335222300301,11.1737517115671,-2.25453786266224,-33.381325158607,0,0.836475062009519,0,0,0,0,0,0,0,0,-22.3349124624618,-5.22323684130757,-189025.095401997,25,26.3967623556061
"41",2016-10-09,-41348.370542247,-2.63327654524813,-0.679742485118517,-4.2473116908739,2.27750422500863,0,0,0,0.63758484479972,0,0,0,0,0,0,0,0,0,-1.02504039123207,-41354.0408242897,4,5.77561418167647
"42",2016-10-16,-38660.8007870472,-2.46211830352601,-1.34579348130291,-3.66072100617412,1.96397104328895,0,0,0,0.886077474801785,0,0,0,0,0,0,0,0,0,-0.974616869815379,-38666.3939881899,7,5.40020964242101
"43",2016-10-23,-28625.9175306225,-1.82304541221467,-1.55822176141554,-2.4960611098387,1.32826376223081,0,0,0,0.0480210908578687,0,0,0,0,0,0,0,0,0,-0.773735860871712,-28631.1923099138,1,3.998519242359
"44",2016-10-30,-51231.4557973438,1.42588652248021,-3.6109315826745,-4.11015833005143,2.15143304524239,0,0,0,0.473193810583596,0,0,0,0,0,0,0,0,0,-1.19681863834749,-51236.3231925166,9,7.15610116603619
"45",2016-11-13,-28898.3417015457,-1.84039478221989,-2.39837041063066,-1.95862035609157,0.969310979773331,0,0,0,0.752256905028668,0,0,0,0,0,0,0,0,0,-0.818663463543992,-28903.6361826734,5,4.0365719366824
"46",2016-11-20,-27839.4837255479,-1.77296126945075,-2.47952739476709,-1.73285743912202,0.825226404914086,0,0,0,0.669838719117295,0,0,0,0,0,0,0,0,0,-0.715255725298493,-27844.6892622525,4,3.88866876510988
"47",2016-11-27,-73999.2468484883,5.7842092972983,-7.04299622982585,-4.22834467304915,1.92583010931133,-0.882823621203299,0,0,0.760095271179541,0,0,0,0,0,0,0,0,0,-1.78404887724285,-74004.7149272118,14,10.3363468481745
"48",2016-12-04,-27215.2590340569,-1.73320743592572,-2.73140394903309,-1.4270746862914,0.618217941846037,0,0,0,0.750239218488333,0,0,0,0,0,0,0,0,0,-0.672339548458778,-27220.4546025163,3,3.80147594630112
"49",2016-12-11,-21852.982586568,-1.39171013837485,-2.33635912633542,-1.05126847817372,0.431050310076778,0,0,0,0.0805777740251048,0,0,0,0,0,0,0,0,0,-0.529030815339017,-21857.7793270421,8,3.0524636033711
"50",2016-12-18,-30163.1464561832,2.35772605260224,-3.65652877064113,-1.33091219538587,0.51428447959576,-0.359851475729947,0,-4.8373130709479,0.288640619851235,0,0,0,0,0,0,0,0,0,-0.800199004262234,-30170.9706095481,5,4.21324212179823
"51",2016-12-25,-79168.9094785785,6.18830004041205,-12.0043647132744,-3.2034528036777,1.16215133403353,0,0,-12.6964473414515,1.00476834591445,0,0,0,0,0,0,0,6.86556108759067,0,-2.12430343403829,-79183.717266063,11,11.0584545493794
"52",2017-01-01,-42954.7776997587,3.35759396366615,-7.9012727693911,-1.59368996817585,0.541002908283313,-0.51245781561165,0,-6.88872786957243,0.105862978867649,0,2.66666518206895,0,0,0,0,0,0,0,-0.921167636130679,-42965.9238907847,6,6.0000000000001
"53",2017-01-08,-16402.0129546091,-1.04456440342911,-3.3226681013859,-0.55791747718169,0.176712735883485,0,0,0,0.130471271745678,0,0,0,0,0,0,0,0,0,-0.389094051186035,-16407.0200146347,2,2.29106243816527
"54",2017-01-15,-16913.8346925566,-1.07715983972347,-3.62408326175749,-0.527422563445083,0.155481422435733,0,0,0,0.316355032065237,0,0,0,0,0,0,0,0,0,-0.471368833504493,-16919.0628906005,4,2.362554611845
"55",2017-01-29,-17131.5973341486,-1.09102808287345,-3.84291375227388,-0.448878440390669,0.11392808721634,0,0,0,0.37486152367272,0,0,0,0,0,0,0,0,0,-0.466305336543374,-17136.9576701498,2,2.39297208621035
"56",2017-02-05,-15700.1267954454,-0.999864688878775,-3.37855107518835,-0.377067204181459,0.0885780747898681,0,0,0,0.103333866267282,0,0,0,0,0,0,0,0,0,-0.417515388077157,-15705.1078818607,3,2.19302172696853
"57",2017-02-12,-16718.1690749024,-1.06469884851817,-3.23204023109574,-0.368028442758578,0.0799111577809759,0,0,0,0.1110513453656,0,0,0,0,0,0,0,0,0,-0.46448750758214,-16723.1073674292,1,2.33522368921442
"58",2017-02-19,-18978.7731490506,-1.20866572335462,-3.31728855675458,-0.382943210627424,0.0767675185534786,0,0,0,0.33585826628435,0,0,0,0,0,0,0,0,0,-0.60181735360172,-18983.8712381101,3,2.65098890023927
"59",2017-02-26,-98666.2613006373,12.7721188914636,-15.4120839364087,-7.23461861277999,5.81699417224835,-1.17710530581972,-17.4285540332823,0,1.29955546410889,0,0,-14.3731423600899,0,0,0,0,0,0,-2.85249029336381,-98704.8506266512,13,13.7818794440451
"60",2017-03-05,-29818.7991160825,-1.89901423659774,-4.22424565239935,-2.00893274882351,1.63696690028942,0,0,0,0.778912070787059,0.099986529209394,0,0,0,0,0,0,0,0,-0.777383022943837,-29825.192826243,5,4.16514307086039
"61",2017-03-12,-26927.6754724504,-1.71489263808371,-3.33920181174811,-1.66603586302861,1.36277482689086,0,0,0,0.169948351474741,0.178416875707509,0,0,0,0,0,0,0,0,-0.737343837063131,-26933.4218065462,1,3.76130576123579
"62",2017-03-19,-35272.4932203743,-2.24633347993084,-3.71102036925564,-2.00332518600916,1.62982911259636,0,0,0,0.964099581923688,0.456329729473367,0,0,0,0,0,0,0,0,-0.974017089458364,-35278.377658075,11,4.92692479522339
"63",2017-03-26,-29394.4943833734,-1.87199233256554,-2.60814677977567,-1.53201471020409,1.22876391937733,0,0,0,0.149708078424506,0.288649898903309,0,0,0,0,0,0,0,0,-0.936708210152765,-29399.7761235094,5,4.10587542864258
"64",2017-04-09,-109088.748692971,4.48967994509366,-3.08362523365111,-2.67229653311615,2.03311637810089,0,0,0,0.973376624547025,0,0,0,0,0,0,0,0,0,-1.62697642402658,-109088.635418214,5,8.51143594814656
"65",2017-04-16,-33403.7027822988,-1.18827177817137,-0.694913931349624,-0.750386999494122,0.550006021069721,0,0,0,0.0181655137696608,0,0,0,0,0,0,0,0,0,-0.500107671424863,-33406.2682911444,4,2.60625848283086
"66",2017-04-23,-59731.8607814159,2.45833727718548,-0.730548676776645,-1.23032995669466,0.863256565917746,0,0,0,0.448361346301107,0,0,0,-4.8196888458225,0,0,0,0,0,-0.925053446467797,-59735.7964471523,6,4.66046144259593
"67",2017-05-07,-253881.657694268,18.0781031200274,0.667048411096378,-15.7042919509928,5.93729358861143,-1.69184694329954,-25.0499642823421,0,1.20901190159306,0,0,0,0,0,0,0,0,0,-3.82215877698397,-253902.0344992,21,19.80861907176
"68",2017-05-14,-45163.7950517363,-1.60661419498479,0.464118512001026,-2.57808362253198,0.947478890393632,0,0,0,0.537683057107135,0,0,0,0,0,0,0,0,0,-0.738151368703384,-45166.768620463,5,3.52381664803934
"69",2017-05-21,-52439.9958965844,-1.86545089259848,0.874773895738697,-2.75917462750214,0.979080574989197,0,0,0,0.806596470516727,0,0,0,0,0,0,0,0,0,-0.846726652523247,-52442.8067978158,1,4.09152796729809
"70",2017-05-28,-51626.8704617676,-1.83652553625092,1.15924157649774,-2.50130533839266,0.851660139826613,0,0,0,0.434302590400877,0,0,0,0,0,0,0,0,0,-0.859983637097865,-51629.6230719726,3,4.02808544788915
"71",2017-06-04,-245403.25374477,17.4743830156123,7.29407649342878,-17.786955234771,7.74660214960475,-1.63534754142747,-24.2134181606766,0,2.61390520251368,0,0,0,0,0,-17.2909102607663,0,0,0,-3.89224779489414,-245432.943656901,24,19.1471082099776
"72",2017-06-11,-119431.07597157,1.58948928611311,4.35327028845199,-8.01226568484205,3.48901796427866,0,0,0,0.109301297232907,0,0,0,0,0,0,0,0,0,-2.05678599747416,-119431.603944416,15,9.31837577687546
"73",2017-06-18,-80261.5876424296,-2.85514992419543,3.37994918569356,-4.9759464220617,2.14875708039831,0,0,0,0.193699634884893,0,0,0,0,0,0,0,0,0,-1.28871045877486,-80264.9850433337,13,6.26225317001096
"74",2017-06-25,-106523.277595468,-3.78935848249989,4.93274761292995,-6.0946338840506,2.58907880714562,0,0,0,1.51246932694395,0,0,0,0,0,0,0,0,0,-1.69380290392567,-106525.821094991,6,8.31127009066955
"75",2017-07-02,-120521.530012352,-4.28731909480413,6.00413159604744,-6.35610546440332,2.63605472380104,0,0,0,1.87246346830396,0,0,0,0,0,0,0,0,0,-1.96631589975156,-120523.627103023,6,9.40345631757024
"76",2017-07-09,-216264.020487479,2.87822361759868,11.5012590985825,-10.5025924510871,4.22189773485683,0,0,0,1.91430074405205,0,0,0,0,0,0,0,0,0,-3.4224970935539,-216257.429895829,23,16.8735766091561
"77",2017-07-16,-129763.820515501,-4.6160956092561,7.18989608582795,-5.79802212971063,2.24416042322511,0,0,0,0.901677451270144,0,0,0,0,0,0,0,0,0,-2.15914617498288,-129766.058045455,17,10.1245679315014
"78",2017-07-23,-144274.844243198,-5.13229706393839,8.11880444817376,-5.92675484451073,2.19542376211248,0,0,0,1.64640310443428,0,0,0,0,0,0,0,0,0,-2.31935413541273,-144276.262017927,10,11.2567621355796
"79",2017-07-30,-138065.10474147,-4.91139765503785,7.7366323426858,-5.21131147322756,1.83736426070655,0,0,0,1.33576801213073,0,0,0,0,0,0,0,0,0,-2.29599780452971,-138066.613683787,8,10.7722593737743
"80",2017-08-06,-127662.790021017,-4.54135553454211,7.04636204978649,-4.42532025762857,1.47778226075529,0,0,0,0.812232392970554,0,0,0,0,0,0,0,0,0,-2.05105432548014,-127664.471374431,13,9.96063914239014
"81",2017-08-13,-71612.7170802818,-2.54748317033174,3.83246231737376,-2.27879962549136,0.717630291686259,0,0,0,0.897992999068127,0,0,0,0,0,0,-4.53610669958061,0,0,-1.18697143047703,-71617.8183555995,5,5.58744198466391
"82",2017-08-20,-125438.51856957,-4.46223140240706,6.41143219789125,-3.66296946559622,1.0836616903455,0,0,0,1.89311810438951,0,0,0,0,0,0,0,0,0,-1.89062513085544,-125439.146183576,6,9.7870947189999
"83",2017-08-27,-93603.8939598107,-3.32977652939511,4.39762766917978,-2.50761659437508,0.694595335283319,0,0,0,0.507232046767538,0,0,0,0,0,0,0,0,0,-1.51864406813984,-93605.6505419514,6,7.30326048727848
"84",2017-09-03,-140509.35948294,1.87001682501726,5.83892242490123,-3.45254396200693,0.892797620129478,0,0,0,0.610555689460121,0,0,0,0,0,0,0,0,0,-2.10980448797551,-140505.70953883,14,10.9629675624944
"85",2017-09-10,-66894.3987434097,-2.37963816953428,2.37170326931074,-1.50734327653171,0.362969830633959,0,0,0,0.193224709108194,0,0,0,0,0,0,0,0,0,-1.0822455998211,-66896.4400726465,2,5.21930443804781
"86",2017-09-17,-63622.3084649186,-2.26323991994799,1.8195362408507,-1.31449401484704,0.29411195174005,0,0,0,0.544778323654506,0,0,0,0,0,0,0,0,0,-0.952770400224187,-63624.1805427374,10,4.9640060030065
"87",2017-09-24,-59129.0199723556,-2.10339991832625,1.21255824792337,-1.1200279235742,0.232413557399481,0,0,0,0.800559625194952,0,0,0,0,0,0,0,0,0,-0.908299197108653,-59130.9061679641,6,4.61342596923389
"88",2017-10-01,-230632.26915488,16.4225883132083,2.77161751632504,-14.2771303620216,8.38141438905148,-1.53691488837608,-22.7559964636851,0,2.78623575126426,0,0,0,0,0,0,0,0,-15.2256744331628,-3.29080142504237,-230658.993816482,19,17.9946310688036
"89",2017-10-08,-55138.6645251262,-2.62442356864543,0.109539241541253,-4.2146202847302,2.5403063587181,0,0,0,1.07989375947082,0,0,0,0,0,0,0,0,0,-1.13150283142775,-55142.9053324513,3,5.75619678424859
"90",2017-10-15,-45593.2038139397,-2.17009025680758,-0.560177603357216,-3.2123054687285,1.97011424952131,0,0,0,0.724453303451599,0,0,0,0,0,0,0,0,0,-0.951102463936698,-45597.4029221796,12,4.75969912288675
"91",2017-10-22,-39350.0107120354,-1.87293429081976,-1.02374559170621,-2.55293542292185,1.57867451745383,0,0,0,0.587861232407266,0,0,0,0,0,0,0,0,0,-0.862740097074182,-39354.1565316881,5,4.10794144311473
"92",2017-10-29,-35903.7865195777,-1.70890507336564,-1.46066195371232,-2.14310204934901,1.32414652752574,0,0,0,0.591732650969276,0,0,0,0,0,0,0,0,0,-0.717134917436316,-35907.9004443931,5,3.74817312472565
"93",2017-11-05,-31978.7324775631,-1.52208509096697,-1.68454812828169,-1.75492507564491,1.07390386644625,0,0,0,0.495872693136429,0,0,0,0,0,0,0,0,0,-0.668173449295085,-31982.7924327477,2,3.33841739978692
"94",2017-11-12,-27308.3539088732,-1.29979005180111,-1.60254971783896,-1.37697204140062,0.827549175205677,0,0,0,0.143034340238871,0,0,0,0,0,0,0,0,0,-0.550622456996882,-27312.2132596258,4,2.85085357629124
"95",2017-11-19,-29936.5153577893,-1.42488210668027,-1.85688153232915,-1.38625902977208,0.81179451729332,0,0,0,0.55122514880716,0,0,0,0,0,0,0,0,0,-0.66082175643166,-29940.4811825484,5,3.12522029538077
"96",2017-11-26,-76188.1499916428,4.32153121644468,-5.07148069519289,-3.23864323519556,1.83452813642646,-0.679318885073923,0,0,0.624121973000145,0,0,0,0,0,0,0,0,0,-1.59649754121441,-76191.9557506736,9,7.95365625476656
"97",2017-12-03,-27806.7138056876,-1.32351038435054,-1.97796880589826,-1.08469897170619,0.590377882666357,0,0,0,0.52367516828523,0,0,0,0,0,0,0,0,0,-0.619656325752411,-27810.6055871244,3,2.90287982067251
"98",2017-12-10,-26222.7838501128,-1.24812039907804,-1.96694343460953,-0.938428427711919,0.487821806376195,0,0,0,0.38953966455328,0,0,0,0,0,0,0,0,0,-0.528269977859849,-26226.5882508811,1,2.73752557070514
"99",2017-12-17,-11367.7417175111,-0.54106804259133,-0.908327980388836,-0.373131286795102,0.184253758522197,0,0,-1.36251522984561,0.129108251048749,0,0,0,0,0,0,0,0,0,-0.228800928340288,-11370.8421989695,1,1.18673455155389
"100",2017-12-24,-85755.3784570413,4.86420191356243,-7.76950471945117,-2.58128518775169,1.2050509056078,0,0,-10.2784714934987,0.628585411909988,0,0,0,0,0,0,0,5.55804880120165,0,-1.78636142690135,-85765.5381928366,9,8.95242635921119
